base1,quote1,symbol1,step1,minQty1,minNotional1,spot1,market1,qoq1,quotePrec1,base2,quote2,symbol2,step2,minQty2,minNotional2,spot2,market2,qoq2,quotePrec2,base3,quote3,symbol3,step3,minQty3,minNotional3,spot3,market3,qoq3,quotePrec3,cycle_leg1,cycle_leg2,cycle_leg3,min_start_usdt,trade_amount_ok,reason
TRUMP,EUR,TRUMPEUR,0,0.000000000000,0.000000000000,0,1,0,3,TRUMP,USDT,TRUMPUSDT,0,0.000000000000,0.000000000000,1,1,0,3,EUR,USDT,EURUSDT,0,0.000000000000,0.000000000000,0,1,0,4,,,,0.000000,0,spot not allowed
TRUMP,EUR,TRUMPEUR,0,0.000000000000,0.000000000000,0,1,0,3,TRUMP,USDC,TRUMPUSDC,0,0.000000000000,0.000000000000,1,1,0,3,EUR,USDC,EURUSDC,0,0.000000000000,0.000000000000,0,1,0,4,,,,0.000000,0,spot not allowed
PEPE,EUR,PEPEEUR,0,0.000000000000,0.000000000000,1,1,0,9,PEPE,USDT,PEPEUSDT,0,0.000000000000,0.000000000000,1,1,0,9,EUR,USDT,EURUSDT,0,0.000000000000,0.000000000000,0,1,0,4,,,,0.000000,0,spot not allowed
PEPE,EUR,PEPEEUR,0,0.000000000000,0.000000000000,1,1,0,9,PEPE,USDC,PEPEUSDC,0,0.000000000000,0.000000000000,1,1,0,9,EUR,USDC,EURUSDC,0,0.000000000000,0.000000000000,0,1,0,4,,,,0.000000,0,spot not allowed
FF,USDF,FFUSDF,0,0.000000000000,0.000000000000,0,1,0,5,USDF,USDT,USDFUSDT,0,0.000000000000,0.000000000000,1,1,0,4,FF,USDT,FFUSDT,0,0.000000000000,0.000000000000,1,1,0,5,,,,0.000000,0,spot not allowed
FHE,USDC,FHEUSDC,0,0.000000000000,0.000000000000,0,1,0,5,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,FHE,USDT,FHEUSDT,0,0.000000000000,0.000000000000,1,1,0,5,,,,0.000000,0,spot not allowed
FIL,USDC,FILUSDC,0,0.000000000000,0.000000000000,1,0,0,3,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,FIL,USDT,FILUSDT,0,0.000000000000,0.000000000000,1,1,0,3,,,,0.000000,0,market not allowed
FLK,USDC,FLKUSDC,0,0.000000000000,0.000000000000,0,1,0,5,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,FLK,USDT,FLKUSDT,0,0.000000000000,0.000000000000,1,1,0,5,,,,0.000000,0,spot not allowed
FLOCK,USDC,FLOCKUSDC,0,0.000000000000,0.000000000000,0,1,0,5,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,FLOCK,USDT,FLOCKUSDT,0,0.000000000000,0.000000000000,1,1,0,5,,,,0.000000,0,spot not allowed
FLOKI,USDC,FLOKIUSDC,0,0.000000000000,0.000000000000,0,1,0,8,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,FLOKI,USDT,FLOKIUSDT,0,0.000000000000,0.000000000000,1,1,0,8,,,,0.000000,0,spot not allowed
