base1,quote1,base2,quote2,base3,quote3,min_start_usdt,reason
USDC,USDT,ZORA,USDT,ZORA,USDC,0.000000,spot/market/price not ok
USDC,USDT,ZK,USDT,ZK,USDC,0.000000,spot/market/price not ok
USDC,USDT,XPL,USDT,XPL,USDC,0.010000,
USDC,USDT,VIRTUAL,USDT,VIRTUAL,USDC,0.010000,
USDC,USDT,USELESS,USDT,USELESS,USDC,0.000000,spot/market/price not ok
USDC,USDT,XRP,USDT,XRP,USDC,0.000000,spot/market/price not ok
USDC,USDT,WAVES,USDT,WAVES,USDC,0.000000,spot/market/price not ok
USDC,USDT,XLM,USDT,XLM,USDC,0.010000,
USDC,USDT,USUAL,USDT,USUAL,USDC,0.000000,spot/market/price not ok
USDC,USDT,XMR,USDT,XMR,USDC,0.010000,
USDC,USDT,XCN,USDT,XCN,USDC,0.000000,spot/market/price not ok
USDC,USDT,XDC,USDT,XDC,USDC,0.000000,spot/market/price not ok
USDC,USDT,WHITE,USDT,WHITE,USDC,0.000000,spot/market/price not ok
USDC,USDT,WLFI,USDT,WLFI,USDC,0.000000,spot/market/price not ok
USDC,USDT,XEN,USDT,XEN,USDC,0.000000,spot/market/price not ok
USDC,USDT,WCT,USDT,WCT,USDC,0.000000,spot/market/price not ok
USDC,USDT,ZBCN,USDT,ZBCN,USDC,0.000000,spot/market/price not ok
USDC,USDT,XAN,USDT,XAN,USDC,0.000000,spot/market/price not ok
USDC,USDT,VANRY,USDT,VANRY,USDC,0.000000,spot/market/price not ok
USDC,USDF,USDF,USDT,USDC,USDT,0.000000,spot/market/price not ok
USDE,USDT,XRP,USDT,XRP,USDE,0.000000,spot/market/price not ok
