base1,quote1,base2,quote2,base3,quote3
ETH,BTC,ETH,EUR,BTC,EUR
ETH,BTC,SNX,ETH,SNX,BTC
ETH,BTC,TRAC,ETH,TRAC,BTC
ETH,BTC,LTC,ETH,LTC,BTC
ETH,BTC,ETH,USDC,BTC,USDC
ETH,BTC,XLM,ETH,XLM,BTC
ETH,BTC,FET,ETH,FET,BTC
ETH,BTC,IOTX,ETH,IOTX,BTC
ETH,BTC,KCS,ETH,KCS,BTC
ETH,BTC,ONT,ETH,ONT,BTC
ETH,BTC,XMR,ETH,XMR,BTC
ETH,BTC,ETH,USDT,BTC,USDT
DAG,BTC,DAG,USDT,BTC,USDT
DAG,BTC,DAG,ETH,ETH,BTC
COTI,BTC,COTI,USDT,BTC,USDT
RUNE,BTC,RUNE,USDC,BTC,USDC
RUNE,BTC,RUNE,USDT,BTC,USDT
STX,BTC,STX,USDT,BTC,USDT
IOTX,BTC,IOTX,USDT,BTC,USDT
KCS,BTC,LTC,KCS,LTC,BTC
KCS,BTC,KCS,USDC,BTC,USDC
KCS,BTC,KCS,USDT,BTC,USDT
KCS,BTC,XRP,KCS,XRP,BTC
LINK,BTC,LINK,USDC,BTC,USDC
LINK,BTC,LINK,USDT,BTC,USDT
INJ,BTC,INJ,USDT,BTC,USDT
INJ,BTC,INJ,USDC,BTC,USDC
CFX,BTC,CFX,USDT,BTC,USDT
PERP,BTC,PERP,USDT,BTC,USDT
KAS,BTC,KAS,USDT,BTC,USDT
KAS,BTC,KAS,USDC,BTC,USDC
TWT,BTC,TWT,USDT,BTC,USDT
EWT,BTC,EWT,USDT,BTC,USDT
ONT,BTC,ONT,USDT,BTC,USDT
RLC,BTC,RLC,USDT,BTC,USDT
TRVL,BTC,TRVL,USDT,BTC,USDT
BTC,USDT,XLM,USDT,XLM,BTC
BTC,USDT,VRA,USDT,VRA,BTC
BTC,USDT,XCN,USDT,XCN,BTC
BTC,USDT,XMR,USDT,XMR,BTC
BTC,USDT,ZEC,USDT,ZEC,BTC
BTC,USDT,XRP,USDT,XRP,BTC
BTC,USDT,XDC,USDT,XDC,BTC
BTC,USDT,WIN,USDT,WIN,BTC
BTC,USDT,WBTC,USDT,WBTC,BTC
BTC,USDT,WAN,USDT,WAN,BTC
BTC,USDT,VET,USDT,VET,BTC
