ts_unix_ms,tri,A,B,C,profit_pct,profit_usdt,volume_usdt,final_usdt,opportunity_strength,age_min_ms,age_max_ms,age_spread_ms,leg1_symbol,leg1_side,leg1_bid,leg1_ask,leg1_bid_size,leg1_ask_size,leg1_age_ms,leg1_in,leg1_out,leg1_trade_qty,leg1_trade_notional,leg1_book_limit_in,leg2_symbol,leg2_side,leg2_bid,leg2_ask,leg2_bid_size,leg2_ask_size,leg2_age_ms,leg2_in,leg2_out,leg2_trade_qty,leg2_trade_notional,leg2_book_limit_in,leg3_symbol,leg3_side,leg3_bid,leg3_ask,leg3_bid_size,leg3_ask_size,leg3_age_ms,leg3_in,leg3_out,leg3_trade_qty,leg3_trade_notional,leg3_book_limit_in
1776069436960,USDT->FET->BTC,USDT,FET,BTC,0.003069265037,1.815044424481,591.361255124099,593.176299548580,0.004490601615,0,196,196,FET-USDT,BUY,0.229000000000,0.229200000000,4310.544300000000,6008.213400000000,39,591.361255124099,2578.046011920000,2580.110100000000,591.361234920000,1377.082511280000,FET-BTC,SELL,0.000003258000,0.000003263000,2578.046100000000,1.020000000000,0,2578.046011920000,0.008392554449,2578.046000000000,0.008399273868,2578.046100000000,BTC-USDT,SELL,70735.500000000000,70735.600000000006,1.368552150000,0.023359090000,196,0.008392554449,593.176299548580,0.008392550000,593.651220525000,1.368552150000
1776069436967,USDT->FET->BTC,USDT,FET,BTC,0.003069265037,1.815044424481,591.361255124099,593.176299548580,0.004327954338,0,203,203,FET-USDT,BUY,0.229000000000,0.229200000000,4310.544300000000,3718.889100000000,0,591.361255124099,2578.046011920000,2580.110100000000,591.361234920000,852.369381720000,FET-BTC,SELL,0.000003258000,0.000003263000,2578.046100000000,1.020000000000,7,2578.046011920000,0.008392554449,2578.046000000000,0.008399273868,2578.046100000000,BTC-USDT,SELL,70735.500000000000,70735.600000000006,1.368552150000,0.023359090000,203,0.008392554449,593.176299548580,0.008392550000,593.651220525000,1.368552150000
1776069436968,USDT->FET->BTC,USDT,FET,BTC,0.003069325775,0.802571034672,261.481215600000,262.283786634672,0.003756598148,0,204,204,FET-USDT,BUY,0.229000000000,0.229200000000,4310.544300000000,1140.843000000000,0,261.481215600000,1139.930325600000,1140.843000000000,261.481215600000,261.481215600000,FET-BTC,SELL,0.000003258000,0.000003263000,2578.046100000000,1.020000000000,8,1139.930325600000,0.003710921803,1139.930300000000,0.003713892917,2578.046100000000,BTC-USDT,SELL,70735.500000000000,70735.600000000006,1.368552150000,0.023359090000,204,0.003710921803,262.283786634672,0.003710920000,262.493781660000,1.368552150000
1776072383901,USDT->XRP->KCS,USDT,XRP,KCS,0.000133746064,0.006873442844,51.391739345476,51.398612788320,0.000495858874,0,6,6,XRP-USDT,BUY,1.326410000000,1.326420000000,950.779700000000,1504.028800000000,5,51.391739345476,38.713604320000,38.744600000000,51.391612332000,1994.973880896000,XRP-KCS,SELL,0.158630000000,0.158640000000,38.713700000000,34.379100000000,0,38.713604320000,6.136225457306,38.713600000000,6.141138368000,38.713700000000,KCS-USDT,SELL,8.383000000000,8.384000000000,21.667500000000,27.080500000000,6,6.136225457306,51.398612788320,6.136200000000,51.439764600000,21.667500000000
1776072383898,USDT->BTC->KCS,USDT,BTC,KCS,0.000552064584,0.082785802951,149.956735677689,150.039521480640,0.002679638675,0,3,3,BTC-USDT,BUY,70772.199999999997,70772.300000000003,0.568766670000,0.261794670000,0,149.956735677689,0.002117164912,0.002118860000,149.956595578000,18527.810923641002,KCS-BTC,BUY,0.000118000000,0.000118100000,6.911600000000,17.926900000000,0,0.002117164912,17.912458560000,17.926800000000,0.002117155080,0.002117166890,KCS-USDT,SELL,8.383000000000,8.384000000000,21.667500000000,27.080500000000,3,17.912458560000,150.039521480640,17.912400000000,150.159649200000,21.667500000000
1776072383900,USDT->BTC->KCS,USDT,BTC,KCS,0.000545593526,0.050939250900,93.364837493740,93.415776744640,0.002348614898,0,5,5,BTC-USDT,BUY,70772.199999999997,70772.300000000003,0.568766670000,0.261794670000,2,93.364837493740,0.001318164624,0.001319220000,93.364233606000,18527.810923641002,KCS-BTC,BUY,0.000118000000,0.000118100000,6.911600000000,11.161500000000,0,0.001318164624,11.152470880000,11.161400000000,0.001318161340,0.001318173150,KCS-USDT,SELL,8.383000000000,8.384000000000,21.667500000000,27.080500000000,5,11.152470880000,93.415776744640,11.152400000000,93.490569200000,21.667500000000
1776076978508,USDT->ETH->LYX,USDT,ETH,LYX,0.019080711269,3.764701209973,197.304029018827,201.068730228800,0.044528734388,0,91,91,ETH-USDT,BUY,2183.530000000000,2183.540000000000,2.773531800000,4.362980700000,91,197.304029018827,0.090287412240,0.090359700000,197.304019338000,9526.742877678000,LYX-ETH,BUY,0.000105800000,0.000106700000,430.000000000000,846.180100000000,0,0.090287412240,845.503056000000,846.180000000000,0.090287406000,0.090287416670,LYX-USDT,SELL,0.238000000000,0.238300000000,1092.213300000000,49.731400000000,5,845.503056000000,201.068730228800,845.503000000000,201.229714000000,1092.213300000000
1776076978513,USDT->ETH->LYX,USDT,ETH,LYX,0.019080711269,3.764701209973,197.304029018827,201.068730228800,0.090588221114,0,10,10,ETH-USDT,BUY,2183.530000000000,2183.540000000000,2.773531800000,4.316269700000,0,197.304029018827,0.090287412240,0.090359700000,197.304019338000,9424.747540738001,LYX-ETH,BUY,0.000105800000,0.000106700000,430.000000000000,846.180100000000,5,0.090287412240,845.503056000000,846.180000000000,0.090287406000,0.090287416670,LYX-USDT,SELL,0.238000000000,0.238300000000,1092.213300000000,49.731400000000,10,845.503056000000,201.068730228800,845.503000000000,201.229714000000,1092.213300000000
1776076978513,USDT->ETH->LYX,USDT,ETH,LYX,0.019080128585,2.944042386327,154.298875563273,157.242917949600,0.091132708485,0,5,5,ETH-USDT,BUY,2183.530000000000,2183.540000000000,2.773531800000,4.316269700000,0,154.298875563273,0.070607968400,0.070664500000,154.298762330000,9424.747540738001,LYX-ETH,BUY,0.000105800000,0.000106700000,430.000000000000,846.180100000000,5,0.070607968400,661.213505680000,661.742900000000,0.070607967430,0.090287416670,LYX-USDT,SELL,0.238000000000,0.238300000000,661.214000000000,49.731400000000,0,661.213505680000,157.242917949600,661.213500000000,157.368813000000,661.214000000000
1776076978517,USDT->ETH->LYX,USDT,ETH,LYX,0.004952248384,0.774868527158,156.468025641482,157.242894168640,0.023977039376,0,4,4,ETH-USDT,BUY,2183.530000000000,2183.540000000000,2.773531800000,4.091979000000,0,156.468025641482,0.071600573680,0.071657900000,156.467890966000,8934.999825660001,LYX-ETH,BUY,0.000106700000,0.000108200000,246.033100000000,1091.215300000000,0,0.071600573680,661.213405760000,661.742800000000,0.071600570960,0.118069495460,LYX-USDT,SELL,0.238000000000,0.238300000000,661.214000000000,49.731400000000,4,661.213405760000,157.242894168640,661.213400000000,157.368789200000,661.214000000000
