2026/04/10 08:58:11 [Main] log file: logs/arb_20260440_085811.log
2026/04/10 08:58:11 pprof on http://localhost:6060/debug/pprof/
2026/04/10 08:58:13 [KuCoin WS 0] connected
2026/04/10 08:58:13 [KuCoin] started with 1 WS
2026/04/10 08:58:13 [Main] KuCoinCollector started
2026/04/10 08:58:47 [EXEC CMP] USDT→LINK→BTC | est=-0.3680% | ideal=-0.0685% | rounded=-0.0784% | strict=-0.3873% | tails=-0.3803% | tail_usdt=0.00070075 | tails_map={USDT=0.00070075}
2026/04/10 08:58:47 [EXEC CMP] USDT→LINK→BTC | est=-0.3680% | ideal=-0.0685% | rounded=-0.0784% | strict=-0.3873% | tails=-0.3803% | tail_usdt=0.00070075 | tails_map={USDT=0.00070075}
2026/04/10 08:58:47 [EXEC CMP] USDT→BTC→ICP | est=-0.7042% | ideal=-0.4057% | rounded=-0.4200% | strict=-0.7200% | tails=-0.7132% | tail_usdt=0.00068000 | tails_map={USDT=0.00068000}
2026/04/10 08:58:47 [EXEC CMP] USDT→SHIB→DOGE | est=-0.7822% | ideal=-0.4839% | rounded=-0.4840% | strict=-0.7824% | tails=-0.7823% | tail_usdt=0.00000830 | tails_map={USDT=0.00000830}
2026/04/10 08:58:47 [EXEC CMP] USDT→LINK→BTC | est=-0.3640% | ideal=-0.0645% | rounded=-0.0736% | strict=-0.3824% | tails=-0.3754% | tail_usdt=0.00070027 | tails_map={USDT=0.00070027}
2026/04/10 08:58:47 [EXEC CMP] USDT→BTC→DASH | est=-0.4160% | ideal=-0.1167% | rounded=-0.2000% | strict=-0.5000% | tails=-0.4983% | tail_usdt=0.00017200 | tails_map={USDT=0.00017200}
2026/04/10 08:58:47 [EXEC CMP] USDT→SHIB→DOGE | est=-0.7989% | ideal=-0.5007% | rounded=-0.5008% | strict=-0.7991% | tails=-0.7990% | tail_usdt=0.00000997 | tails_map={USDT=0.00000997}
2026/04/10 08:58:47 [EXEC CMP] USDT→LINK→BTC | est=-0.3695% | ideal=-0.0700% | rounded=-0.0736% | strict=-0.3824% | tails=-0.3814% | tail_usdt=0.00010027 | tails_map={USDT=0.00010027}
2026/04/10 08:58:47 [EXEC CMP] USDT→BTC→DASH | est=-0.4420% | ideal=-0.1427% | rounded=-0.2000% | strict=-0.5000% | tails=-0.4983% | tail_usdt=0.00017200 | tails_map={USDT=0.00017200}
2026/04/10 08:58:47 [EXEC CMP] USDT→BTC→DASH | est=-0.4160% | ideal=-0.1167% | rounded=-0.2000% | strict=-0.5000% | tails=-0.4983% | tail_usdt=0.00017200 | tails_map={USDT=0.00017200}
2026/04/10 08:58:50 [EXEC CMP] USDT→BTC→DOT | est=-0.4054% | ideal=-0.1060% | rounded=-0.1090% | strict=-0.4100% | tails=-0.4081% | tail_usdt=0.00019100 | tails_map={USDT=0.00019100}
