A,B,C,leg1,leg2,leg3,baseMin1,quoteMin1,baseInc1,quoteInc1,priceInc1,baseMin2,quoteMin2,baseInc2,quoteInc2,priceInc2,baseMin3,quoteMin3,baseInc3,quoteInc3,priceInc3
USDT,BTC,SKL,BUY BTC/USDT,BUY SKL/BTC,SELL SKL/USDT,0.00001,0.1,0.00000001,0.000001,0.1,10,0.000001,0.001,0.0000000001,0.0000000001,1,0.1,0.0001,0.00001,0.00001
USDT,BTC,IOTX,BUY BTC/USDT,BUY IOTX/BTC,SELL IOTX/USDT,0.00001,0.1,0.00000001,0.000001,0.1,1,0.00001,0.0001,0.0000000001,0.0000000001,1,0.1,0.0001,0.00001,0.00001
USDT,BTC,CRO,BUY BTC/USDT,BUY CRO/BTC,SELL CRO/USDT,0.00001,0.1,0.00000001,0.000001,0.1,1,0.00001,0.0001,0.000000001,0.000000001,0.1,0.1,0.0001,0.00001,0.00001
USDT,BTC,ALGO,BUY BTC/USDT,BUY ALGO/BTC,SELL ALGO/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.01,0.000001,0.0001,0.000000001,0.000000001,1,0.1,0.0001,0.0001,0.0001
USDT,BTC,BAX,BUY BTC/USDT,BUY BAX/BTC,SELL BAX/USDT,0.00001,0.1,0.00000001,0.000001,0.1,100,0.00001,0.0001,0.000000000001,0.000000000001,1000,0.1,0.0001,0.00000001,0.00000001
USDT,BTC,ONE,BUY BTC/USDT,BUY ONE/BTC,SELL ONE/USDT,0.00001,0.1,0.00000001,0.000001,0.1,1,0.000001,0.0001,0.0000000001,0.0000000001,1,0.1,0.0001,0.000001,0.000001
USDT,BTC,XYO,BUY BTC/USDT,BUY XYO/BTC,SELL XYO/USDT,0.00001,0.1,0.00000001,0.000001,0.1,10,0.00001,0.0001,0.00000001,0.0000000001,10,0.1,0.0001,0.000001,0.000001
USDT,BTC,COTI,BUY BTC/USDT,BUY COTI/BTC,SELL COTI/USDT,0.00001,0.1,0.00000001,0.000001,0.1,1,0.000001,0.01,0.0000000001,0.0000000001,1,0.1,0.01,0.00001,0.00001
USDT,BTC,ONT,BUY BTC/USDT,BUY ONT/BTC,SELL ONT/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.01,0.00001,0.0001,0.000000001,0.000000001,0.01,0.1,0.0001,0.000001,0.00001
USDT,BTC,SXP,BUY BTC/USDT,BUY SXP/BTC,SELL SXP/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.01,0.000001,0.0001,0.000000001,0.000000001,0.01,0.1,0.0001,0.0001,0.0001
