A,B,C,Leg1,Leg2,Leg3
USDT,BTC,XYO,BUY BTC/USDT,BUY XYO/BTC,SELL XYO/USDT
USDT,BTC,DASH,BUY BTC/USDT,BUY DASH/BTC,SELL DASH/USDT
USDT,BTC,DOGE,BUY BTC/USDT,BUY DOGE/BTC,SELL DOGE/USDT
USDT,BTC,KRL,BUY BTC/USDT,BUY KRL/BTC,SELL KRL/USDT
USDT,BTC,KLV,BUY BTC/USDT,BUY KLV/BTC,SELL KLV/USDT
USDT,BTC,WBTC,BUY BTC/USDT,BUY WBTC/BTC,SELL WBTC/USDT
USDT,BTC,EUR,BUY BTC/USDT,SELL BTC/EUR,BUY USDT/EUR
USDT,BTC,CRO,BUY BTC/USDT,BUY CRO/BTC,SELL CRO/USDT
USDT,BTC,ANKR,BUY BTC/USDT,BUY ANKR/BTC,SELL ANKR/USDT
USDT,BTC,WAN,BUY BTC/USDT,BUY WAN/BTC,SELL WAN/USDT
USDT,BTC,EWT,BUY BTC/USDT,BUY EWT/BTC,SELL EWT/USDT
USDT,BTC,RLC,BUY BTC/USDT,BUY RLC/BTC,SELL RLC/USDT
USDT,BTC,LTC,BUY BTC/USDT,BUY LTC/BTC,SELL LTC/USDT
USDT,BTC,KAS,BUY BTC/USDT,BUY KAS/BTC,SELL KAS/USDT
USDT,SUI,KCS,BUY SUI/USDT,SELL SUI/KCS,SELL KCS/USDT
USDT,MANA,ETH,BUY MANA/USDT,SELL MANA/ETH,SELL ETH/USDT
USDT,CSPR,ETH,BUY CSPR/USDT,SELL CSPR/ETH,SELL ETH/USDT
USDT,TRX,KLV,BUY TRX/USDT,BUY KLV/TRX,SELL KLV/USDT
USDT,TRX,ETH,BUY TRX/USDT,SELL TRX/ETH,SELL ETH/USDT
USDT,TRX,NFT,BUY TRX/USDT,BUY NFT/TRX,SELL NFT/USDT
USDT,TRX,WIN,BUY TRX/USDT,BUY WIN/TRX,SELL WIN/USDT
USDT,DOT,KCS,BUY DOT/USDT,SELL DOT/KCS,SELL KCS/USDT
USDT,EUR,ETH,SELL USDT/EUR,BUY ETH/EUR,SELL ETH/USDT
USDT,BNB,KCS,BUY BNB/USDT,SELL BNB/KCS,SELL KCS/USDT
USDT,TEL,ETH,BUY TEL/USDT,SELL TEL/ETH,SELL ETH/USDT
USDT,SHIB,DOGE,BUY SHIB/USDT,SELL SHIB/DOGE,SELL DOGE/USDT
USDT,ONT,ETH,BUY ONT/USDT,SELL ONT/ETH,SELL ETH/USDT
USDT,ENJ,ETH,BUY ENJ/USDT,SELL ENJ/ETH,SELL ETH/USDT
USDT,SOL,KCS,BUY SOL/USDT,SELL SOL/KCS,SELL KCS/USDT
USDT,HYPE,KCS,BUY HYPE/USDT,SELL HYPE/KCS,SELL KCS/USDT
USDT,DOGE,KCS,BUY DOGE/USDT,SELL DOGE/KCS,SELL KCS/USDT
USDT,A,ETH,BUY A/USDT,SELL A/ETH,SELL ETH/USDT
USDT,ATOM,ETH,BUY ATOM/USDT,SELL ATOM/ETH,SELL ETH/USDT
USDT,IOST,ETH,BUY IOST/USDT,SELL IOST/ETH,SELL ETH/USDT
USDT,KNC,ETH,BUY KNC/USDT,SELL KNC/ETH,SELL ETH/USDT
USDT,BCHSV,ETH,BUY BCHSV/USDT,SELL BCHSV/ETH,SELL ETH/USDT
USDT,XYO,ETH,BUY XYO/USDT,SELL XYO/ETH,SELL ETH/USDT
USDT,ICX,ETH,BUY ICX/USDT,SELL ICX/ETH,SELL ETH/USDT
USDT,DAI,ETH,SELL USDT/DAI,BUY ETH/DAI,SELL ETH/USDT
USDT,ALGO,ETH,BUY ALGO/USDT,SELL ALGO/ETH,SELL ETH/USDT
USDT,DASH,ETH,BUY DASH/USDT,SELL DASH/ETH,SELL ETH/USDT
USDT,LTC,ETH,BUY LTC/USDT,SELL LTC/ETH,SELL ETH/USDT
USDT,LTC,KCS,BUY LTC/USDT,SELL LTC/KCS,SELL KCS/USDT
USDT,XLM,ETH,BUY XLM/USDT,SELL XLM/ETH,SELL ETH/USDT
USDT,ADA,KCS,BUY ADA/USDT,SELL ADA/KCS,SELL KCS/USDT
USDT,TRAC,ETH,BUY TRAC/USDT,SELL TRAC/ETH,SELL ETH/USDT
USDT,FET,ETH,BUY FET/USDT,SELL FET/ETH,SELL ETH/USDT
USDT,KCS,ETH,BUY KCS/USDT,SELL KCS/ETH,SELL ETH/USDT
USDT,DAG,ETH,BUY DAG/USDT,SELL DAG/ETH,SELL ETH/USDT
USDT,ETH,STORJ,BUY ETH/USDT,BUY STORJ/ETH,SELL STORJ/USDT
USDT,ETH,XMR,BUY ETH/USDT,BUY XMR/ETH,SELL XMR/USDT
USDT,ETH,AVA,BUY ETH/USDT,BUY AVA/ETH,SELL AVA/USDT
USDT,ETH,LYX,BUY ETH/USDT,BUY LYX/ETH,SELL LYX/USDT
