A,B,C,Leg1,Step1,MinQty1,MinNotional1,Leg2,Step2,MinQty2,MinNotional2,Leg3,Step3,MinQty3,MinNotional3,Leg1Symbol,Leg1Side,Leg1Base,Leg1Quote,Leg1QtyStep,Leg1QuoteStep,Leg1PriceStep,Leg1MinQty,Leg1MinQuote,Leg1MinNotional,Leg2Symbol,Leg2Side,Leg2Base,Leg2Quote,Leg2QtyStep,Leg2QuoteStep,Leg2PriceStep,Leg2MinQty,Leg2MinQuote,Leg2MinNotional,Leg3Symbol,Leg3Side,Leg3Base,Leg3Quote,Leg3QtyStep,Leg3QuoteStep,Leg3PriceStep,Leg3MinQty,Leg3MinQuote,Leg3MinNotional
USDT,AVA,ETH,BUY AVA/USDT,0.01,0.1,0.1,SELL AVA/ETH,0.0001,0.1,0.00001,SELL ETH/USDT,0.0000001,0.0001,0.1,AVA-USDT,BUY,AVA,USDT,0.01,0.0001,0.0001,0.1,0.1,0.1,AVA-ETH,SELL,AVA,ETH,0.0001,0.0000001,0.0000001,0.1,0.0001,0.00001,ETH-USDT,SELL,ETH,USDT,0.0000001,0.000001,0.01,0.0001,0.01,0.1
USDT,AVAX,BTC,BUY AVAX/USDT,0.0001,0.01,0.1,SELL AVAX/BTC,0.0001,0.01,0.000001,SELL BTC/USDT,0.00000001,0.00001,0.1,AVAX-USDT,BUY,AVAX,USDT,0.0001,0.001,0.001,0.01,0.1,0.1,AVAX-BTC,SELL,AVAX,BTC,0.0001,0.00000001,0.00000001,0.01,0.000001,0.000001,BTC-USDT,SELL,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1
USDT,BCH,BTC,BUY BCH/USDT,0.0001,0.0001,0.1,SELL BCH/BTC,0.0001,0.0001,0.000001,SELL BTC/USDT,0.00000001,0.00001,0.1,BCH-USDT,BUY,BCH,USDT,0.0001,0.01,0.01,0.0001,0.1,0.1,BCH-BTC,SELL,BCH,BTC,0.0001,0.000001,0.000001,0.0001,0.000001,0.000001,BTC-USDT,SELL,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1
USDT,BCHSV,BTC,BUY BCHSV/USDT,0.001,0.001,0.1,SELL BCHSV/BTC,0.001,0.001,0.000001,SELL BTC/USDT,0.00000001,0.00001,0.1,BCHSV-USDT,BUY,BCHSV,USDT,0.001,0.01,0.01,0.001,0.1,0.1,BCHSV-BTC,SELL,BCHSV,BTC,0.001,0.0000001,0.0000001,0.001,0.00001,0.000001,BTC-USDT,SELL,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1
USDT,BCHSV,ETH,BUY BCHSV/USDT,0.001,0.001,0.1,SELL BCHSV/ETH,0.001,0.001,0.00001,SELL ETH/USDT,0.0000001,0.0001,0.1,BCHSV-USDT,BUY,BCHSV,USDT,0.001,0.01,0.01,0.001,0.1,0.1,BCHSV-ETH,SELL,BCHSV,ETH,0.001,0.00001,0.00001,0.001,0.0001,0.00001,ETH-USDT,SELL,ETH,USDT,0.0000001,0.000001,0.01,0.0001,0.01,0.1
USDT,BDX,BTC,BUY BDX/USDT,0.0001,10,0.1,SELL BDX/BTC,0.0001,1,0.000001,SELL BTC/USDT,0.00000001,0.00001,0.1,BDX-USDT,BUY,BDX,USDT,0.0001,0.00001,0.00001,10,0.1,0.1,BDX-BTC,SELL,BDX,BTC,0.0001,0.000000001,0.000000001,1,0.000001,0.000001,BTC-USDT,SELL,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1
USDT,BNB,BTC,BUY BNB/USDT,0.0001,0.001,0.1,SELL BNB/BTC,0.0001,0.001,0.000001,SELL BTC/USDT,0.00000001,0.00001,0.1,BNB-USDT,BUY,BNB,USDT,0.0001,0.001,0.001,0.001,0.1,0.1,BNB-BTC,SELL,BNB,BTC,0.0001,0.0000001,0.0000001,0.001,0.000001,0.000001,BTC-USDT,SELL,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1
USDT,BNB,KCS,BUY BNB/USDT,0.0001,0.001,0.1,SELL BNB/KCS,0.0001,0.01,0.001,SELL KCS/USDT,0.0001,0.1,0.1,BNB-USDT,BUY,BNB,USDT,0.0001,0.001,0.001,0.001,0.1,0.1,BNB-KCS,SELL,BNB,KCS,0.0001,0.0001,0.0001,0.01,0.01,0.001,KCS-USDT,SELL,KCS,USDT,0.0001,0.0001,0.001,0.1,0.1,0.1
USDT,BRL,BTC,SELL USDT/BRL,0.0001,0.01,0,BUY BTC/BRL,0.00001,0.000001,0,SELL BTC/USDT,0.00000001,0.00001,0.1,USDT-BRL,SELL,USDT,BRL,0.0001,0.0001,0.0001,0.01,0.1,0,BTC-BRL,BUY,BTC,BRL,0.00001,0.1,0.1,0.000001,0.1,0,BTC-USDT,SELL,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1
USDT,BRL,ETH,SELL USDT/BRL,0.0001,0.01,0,BUY ETH/BRL,0.0001,0.0001,0,SELL ETH/USDT,0.0000001,0.0001,0.1,USDT-BRL,SELL,USDT,BRL,0.0001,0.0001,0.0001,0.01,0.1,0,ETH-BRL,BUY,ETH,BRL,0.0001,0.01,0.01,0.0001,0.1,0,ETH-USDT,SELL,ETH,USDT,0.0000001,0.000001,0.01,0.0001,0.01,0.1
