A,B,C,leg1,leg2,leg3
USDT,DOGE,EUR,DOGE-USDT_INV,DOGE-EUR,USDT-EUR_INV
USDT,GRT,EUR,GRT-USDT_INV,GRT-EUR,USDT-EUR_INV
USDT,TRUMP,AUD,TRUMP-USDT_INV,TRUMP-AUD,USDT-AUD_INV
USDT,TRUMP,BRL,TRUMP-USDT_INV,TRUMP-BRL,USDT-BRL_INV
USDT,TRUMP,EUR,TRUMP-USDT_INV,TRUMP-EUR,USDT-EUR_INV
USDT,TRUMP,TRY,TRUMP-USDT_INV,TRUMP-TRY,USDT-TRY_INV
USDT,TRX,EUR,TRX-USDT_INV,TRX-EUR,USDT-EUR_INV
USDT,FLR,EUR,FLR-USDT_INV,FLR-EUR,USDT-EUR_INV
USDT,BRL,ETH,USDT-BRL,ETH-BRL_INV,ETH-USDT
USDT,BRL,SOL,USDT-BRL,SOL-BRL_INV,SOL-USDT
USDT,BRL,XRP,USDT-BRL,XRP-BRL_INV,XRP-USDT
USDT,BRL,PEPE,USDT-BRL,PEPE-BRL_INV,PEPE-USDT
USDT,BRL,PI,USDT-BRL,PI-BRL_INV,PI-USDT
USDT,BRL,BTC,USDT-BRL,BTC-BRL_INV,BTC-USDT
USDT,BRL,BRL1,USDT-BRL,BRL1-BRL_INV,BRL1-USDT
USDT,BRL,TRUMP,USDT-BRL,TRUMP-BRL_INV,TRUMP-USDT
USDT,EUR,LINK,USDT-EUR,LINK-EUR_INV,LINK-USDT
USDT,EUR,SNX,USDT-EUR,SNX-EUR_INV,SNX-USDT
USDT,EUR,SUI,USDT-EUR,SUI-EUR_INV,SUI-USDT
USDT,EUR,XTZ,USDT-EUR,XTZ-EUR_INV,XTZ-USDT
USDT,EUR,ALGO,USDT-EUR,ALGO-EUR_INV,ALGO-USDT
USDT,EUR,GRT,USDT-EUR,GRT-EUR_INV,GRT-USDT
USDT,EUR,LTC,USDT-EUR,LTC-EUR_INV,LTC-USDT
USDT,EUR,ETH,USDT-EUR,ETH-EUR_INV,ETH-USDT
USDT,EUR,MANA,USDT-EUR,MANA-EUR_INV,MANA-USDT
USDT,EUR,DYDX,USDT-EUR,DYDX-EUR_INV,DYDX-USDT
USDT,EUR,1INCH,USDT-EUR,1INCH-EUR_INV,1INCH-USDT
USDT,EUR,APT,USDT-EUR,APT-EUR_INV,APT-USDT
USDT,EUR,ARB,USDT-EUR,ARB-EUR_INV,ARB-USDT
USDT,EUR,BAT,USDT-EUR,BAT-EUR_INV,BAT-USDT
USDT,EUR,MINA,USDT-EUR,MINA-EUR_INV,MINA-USDT
USDT,EUR,OP,USDT-EUR,OP-EUR_INV,OP-USDT
USDT,EUR,DOT,USDT-EUR,DOT-EUR_INV,DOT-USDT
USDT,EUR,FLR,USDT-EUR,FLR-EUR_INV,FLR-USDT
USDT,EUR,CRO,USDT-EUR,CRO-EUR_INV,CRO-USDT
USDT,EUR,TON,USDT-EUR,TON-EUR_INV,TON-USDT
USDT,EUR,ADA,USDT-EUR,ADA-EUR_INV,ADA-USDT
USDT,EUR,LDO,USDT-EUR,LDO-EUR_INV,LDO-USDT
USDT,EUR,SHIB,USDT-EUR,SHIB-EUR_INV,SHIB-USDT
USDT,EUR,WIF,USDT-EUR,WIF-EUR_INV,WIF-USDT
USDT,EUR,BTC,USDT-EUR,BTC-EUR_INV,BTC-USDT
USDT,EUR,ASTR,USDT-EUR,ASTR-EUR_INV,ASTR-USDT
USDT,EUR,EGLD,USDT-EUR,EGLD-EUR_INV,EGLD-USDT
USDT,EUR,AXS,USDT-EUR,AXS-EUR_INV,AXS-USDT
USDT,EUR,STX,USDT-EUR,STX-EUR_INV,STX-USDT
USDT,EUR,SUSHI,USDT-EUR,SUSHI-EUR_INV,SUSHI-USDT
USDT,EUR,THETA,USDT-EUR,THETA-EUR_INV,THETA-USDT
USDT,EUR,BNB,USDT-EUR,BNB-EUR_INV,BNB-USDT
USDT,EUR,IMX,USDT-EUR,IMX-EUR_INV,IMX-USDT
USDT,EUR,XLM,USDT-EUR,XLM-EUR_INV,XLM-USDT
USDT,EUR,NEO,USDT-EUR,NEO-EUR_INV,NEO-USDT
USDT,EUR,TRX,USDT-EUR,TRX-EUR_INV,TRX-USDT
USDT,EUR,DOGE,USDT-EUR,DOGE-EUR_INV,DOGE-USDT
USDT,EUR,ATOM,USDT-EUR,ATOM-EUR_INV,ATOM-USDT
USDT,EUR,COMP,USDT-EUR,COMP-EUR_INV,COMP-USDT
USDT,EUR,HYPE,USDT-EUR,HYPE-EUR_INV,HYPE-USDT
USDT,EUR,WOO,USDT-EUR,WOO-EUR_INV,WOO-USDT
USDT,EUR,SOL,USDT-EUR,SOL-EUR_INV,SOL-USDT
USDT,EUR,XRP,USDT-EUR,XRP-EUR_INV,XRP-USDT
USDT,EUR,CRV,USDT-EUR,CRV-EUR_INV,CRV-USDT
USDT,EUR,TRUMP,USDT-EUR,TRUMP-EUR_INV,TRUMP-USDT
USDT,EUR,UNI,USDT-EUR,UNI-EUR_INV,UNI-USDT
USDT,EUR,CHZ,USDT-EUR,CHZ-EUR_INV,CHZ-USDT
USDT,EUR,FET,USDT-EUR,FET-EUR_INV,FET-USDT
USDT,EUR,FLOW,USDT-EUR,FLOW-EUR_INV,FLOW-USDT
USDT,EUR,HBAR,USDT-EUR,HBAR-EUR_INV,HBAR-USDT
USDT,EUR,INJ,USDT-EUR,INJ-EUR_INV,INJ-USDT
USDT,EUR,JTO,USDT-EUR,JTO-EUR_INV,JTO-USDT
USDT,EUR,PI,USDT-EUR,PI-EUR_INV,PI-USDT
USDT,EUR,YGG,USDT-EUR,YGG-EUR_INV,YGG-USDT
USDT,EUR,AAVE,USDT-EUR,AAVE-EUR_INV,AAVE-USDT
USDT,EUR,APE,USDT-EUR,APE-EUR_INV,APE-USDT
USDT,EUR,SAND,USDT-EUR,SAND-EUR_INV,SAND-USDT
USDT,EUR,AVAX,USDT-EUR,AVAX-EUR_INV,AVAX-USDT
USDT,EUR,ICP,USDT-EUR,ICP-EUR_INV,ICP-USDT
USDT,OKB,BTC,OKB-USDT_INV,OKB-BTC,BTC-USDT
USDT,CRO,EUR,CRO-USDT_INV,CRO-EUR,USDT-EUR_INV
USDT,COMP,EUR,COMP-USDT_INV,COMP-EUR,USDT-EUR_INV
USDT,BNB,EUR,BNB-USDT_INV,BNB-EUR,USDT-EUR_INV
USDT,OKSOL,SOL,OKSOL-USDT_INV,OKSOL-SOL,SOL-USDT
USDT,THETA,EUR,THETA-USDT_INV,THETA-EUR,USDT-EUR_INV
USDT,HBAR,EUR,HBAR-USDT_INV,HBAR-EUR,USDT-EUR_INV
USDT,LDO,EUR,LDO-USDT_INV,LDO-EUR,USDT-EUR_INV
USDT,NEO,EUR,NEO-USDT_INV,NEO-EUR,USDT-EUR_INV
USDT,XLM,EUR,XLM-USDT_INV,XLM-EUR,USDT-EUR_INV
USDT,ATOM,EUR,ATOM-USDT_INV,ATOM-EUR,USDT-EUR_INV
USDT,EGLD,EUR,EGLD-USDT_INV,EGLD-EUR,USDT-EUR_INV
USDT,AUD,BTC,USDT-AUD,BTC-AUD_INV,BTC-USDT
USDT,AUD,ETH,USDT-AUD,ETH-AUD_INV,ETH-USDT
USDT,AUD,SOL,USDT-AUD,SOL-AUD_INV,SOL-USDT
USDT,AUD,XRP,USDT-AUD,XRP-AUD_INV,XRP-USDT
USDT,AUD,TRUMP,USDT-AUD,TRUMP-AUD_INV,TRUMP-USDT
